Confirmed,Death,Recovered,Full_Vac
12373,280,10856,0
12421,280,10868,0
12438,280,10881,0
12484,281,10908,0
12535,281,10930,0
12563,282,10974,0
12602,282,11172,0
12653,282,11317,0
12715,282,11364,0
12757,282,11429,0
12800,282,11537,0
12850,282,11613,0
12904,282,11684,0
12967,282,11759,0
13030,283,11811,0
13091,283,11832,0
13137,284,11848,0
13181,285,11914,0
13244,285,11970,0
13293,287,12019,0
13338,288,12065,0
13373,288,12144,0
13417,289,12178,0
13479,289,12204,0
13512,289,12282,0
13551,289,12348,0
13612,291,12396,0
13672,293,12460,0
13711,294,12519,0
13745,295,12556,0
13771,296,12572,0
13816,296,12643,0
13879,297,12698,0
13938,297,12758,0
13979,298,12817,0
14092,298,12866,0
14150,298,12890,0
14175,299,12905,0
14203,300,13007,0
14251,300,13069,0
14269,300,13132,0
14305,301,13183,0
14336,301,13233,0
14366,301,13259,0
14389,301,13280,0
14423,301,13352,0
14456,302,13406,0
14499,302,13501,0
14519,303,13543,0
14562,304,13629,0
14598,305,13642,0
14626,305,13658,0
14660,305,13729,0
14714,305,13786,0
14770,305,13817,0
14873,305,13863,0
15039,305,13901,0
15318,305,13910,0
15515,305,13917,0
15761,306,13934,0
16058,306,14006,0
16346,307,14063,0
16670,309,14120,0
17002,309,14169,0
17399,309,14200,0
17665,309,14219,0
17945,310,14286,0
18265,312,14368,0
18706,313,14461,0
19077,316,14551,0
19400,321,14765,0
19699,323,14903,0
19947,324,14973,0
20182,324,15198,0
20449,326,15356,0
20644,329,15529,0
20842,331,15783,0
21010,333,16009,0
21177,334,16146,0
21296,336,16297,0
21432,341,16636,0
21588,344,17023,0
21743,346,17360,0
21919,350,17616,0
22055,355,18029,0
22176,358,18226,0
22285,363,18489,0
22391,367,18878,0
22504,367,19310,0
22657,372,19543,0
22783,377,19771,0
22893,378,19970,0
22975,383,20158,0
23045,385,20248,0
23106,388,20441,0
23216,388,20650,0
23341,393,20832,0
23455,395,20978,0
23516,399,21166,0
23611,401,21248,0
23661,406,21292,0
23699,407,21470,0
23812,413,21590,0
23889,415,21666,0
23952,416,21733,0
24027,420,21787,0
24091,421,21845,0
24164,422,21886,0
24239,422,22083,0
24353,425,22334,0
24422,427,22463,0
24476,428,22569,0
24548,430,22624,0
24606,432,22693,0
24703,433,22729,0
24805,434,22863,0
24889,438,23030,0
24988,439,23082,0
25035,441,23180,0
25108,443,23258,0
25199,444,23312,0
25275,444,23368,0
25333,447,23466,0
25424,450,23584,0
25543,453,23647,0
25698,455,23717,0
25775,457,23834,0
25836,457,23869,0
25955,457,23905,0
26043,460,23981,0
26146,461,24073,0
26271,462,24168,0
26385,463,24227,0
26511,464,24311,0
26635,466,24357,0
26732,468,24395,0
26807,472,24510,0
26925,474,24616,0
27050,475,24735,0
27195,476,24821,0
27284,477,24910,0
27427,478,24968,0
27553,480,25029,0
27653,485,25160,0
27799,487,25266,0
27942,487,25404,0
28133,488,25537,0
28338,492,25636,0
28546,493,25691,0
28769,494,25759,0
28998,494,25860,0
29311,496,25973,0
29654,498,26098,0
30017,501,26263,0
30403,503,26365,0
30733,505,26466,0
31004,509,26539,0
31353,510,26722,0
31735,513,26825,0
32318,515,26950,0
32887,516,27103,0
33375,522,27349,0
33824,523,27542,0
34201,526,27653,0
34652,526,27885,0
35163,526,28065,0
35703,529,28352,0
36332,536,28611,0
36915,540,28917,0
37546,545,29128,0
38161,549,29301,0
38755,552,29650,0
39432,556,30177,0
40098,564,30637,0
40786,572,31157,0
41736,578,31493,0
42766,580,31814,0
43484,587,32102,0
44364,600,32559,0
45442,612,32947,0
46453,634,33610,0
47515,645,33982,0
48570,659,34334,0
49665,674,34722,0
50591,698,35155,0
51460,722,35928,0
52550,739,36726,0
53533,756,37425,0
54770,773,38048,0
55902,793,38532,0
56872,808,39040,0
57680,819,39268,0
58725,859,40703,0
59773,879,41435,0
60740,900,42271,0
61769,917,42953,0
62593,942,43578,0
63244,962,44507,0
64264,981,45240,0
64979,1007,46172,0
65818,1027,46995,0
66686,1046,47649,0
67358,1081,48369,0
67999,1100,49324,0
68664,1125,50409,0
69114,1140,52552,0
69651,1165,53569,0
70212,1185,54636,0
70728,1195,55772,0
71241,1217,56536,0
71820,1236,57554,0
72340,1249,58253,0
72729,1264,58723,0
73115,1283,59468,0
73518,1300,60180,0
73918,1316,60846,0
74262,1328,61415,0
74692,1337,62044,0
75084,1349,62530,0
75521,1360,62956,0
75875,1371,64793,0
76429,1378,65478,0
76926,1386,66016,0
77395,1399,66503,0
77850,1414,67121,0
78205,1420,67878,0
78508,1425,68309,0
78844,1435,68775,0
79311,1441,69299,0
79762,1448,69704,0
80131,1459,70117,0
80524,1464,70505,0
80896,1471,70865,0
81185,1474,71218,0
81487,1482,71676,0
81930,1486,72226,0
82434,1496,72638,0
82837,1507,72936,0
83199,1514,73227,0
83525,1522,73559,0
83869,1527,73794,0
84325,1534,74551,0
84946,1538,75360,0
85567,1544,75896,0
86128,1550,76513,0
86574,1553,77083,0
86992,1557,77516,0
87324,1562,77887,0
87681,1573,78394,0
88120,1576,79050,0
88516,1581,79487,0
88922,1585,79880,0
89321,1595,80333,0
89676,1603,80697,0
90031,1605,81070,0
90372,1606,81338,0
90816,1612,81700,0
91240,1619,82162,0
91638,1627,82560,0
92055,1632,82913,0
92471,1634,83220,0
92817,1642,83474,0
93263,1645,83900,0
93733,1648,84312,0
94198,1652,84675,0
94686,1662,85743,0
95176,1667,86625,0
95635,1669,87408,0
96017,1675,87754,0
96380,1678,88255,0
96849,1686,88814,0
97294,1688,89178,0
97757,1690,89523,0
98209,1693,89949,0
98665,1696,90328,313
99075,1697,90611,593
99421,1704,91079,883
99846,1707,91560,1498
100276,1709,92068,2692
100770,1716,92630,3834
101275,1721,93475,5233
101757,1722,93855,5233
102141,1726,94124,5233
102582,1729,94563,6152
103088,1731,95030,8188
103639,1735,95439,12977
104194,1737,95861,20244
104736,1740,96196,26840
105279,1744,96589,27384
105752,1748,96900,27450
106230,1752,97363,27767
106898,1756,97928,33511
107598,1758,98360,42752
108269,1764,98786,52252
108945,1765,99301,59538
109559,1768,100109,60627
110146,1770,100804,60627
110688,1775,101332,60652
111419,1782,101983,60656
112117,1788,102513,60659
112789,1790,103062,60662
113444,1794,103594,60862
114115,1797,104006,60862
114646,1801,104474,60862
115195,1802,105227,60864
115926,1806,105877,60877
116661,1808,106459,60903
117458,1811,107071,79444
118243,1812,107781,99060
118887,1813,108475,104833
119387,1817,108850,105200
119898,1820,109695,126803
120673,1821,110248,148593
121351,1825,110787,169038
122007,1828,111422,199078
122634,1831,112337,228835
123240,1833,112865,236548
123728,1834,113356,236862
124269,1840,114128,267443
124945,1847,114944,298682
125519,1851,115491,323994
126044,1860,116022,397512
126745,1865,116881,474328
127309,1874,117423,501875
127772,1875,117844,506610
128283,1879,118717,584186
128918,1884,119373,664980
129633,1891,119906,747876
130380,1893,120395,825873
131061,1896,121282,905999
131671,1900,121764,936159
132290,1903,122163,941147
132818,1904,122631,1041526
133471,1912,123237,1183420
134117,1916,123659,1276491
134678,1922,124158,1487728
135344,1926,125032,1713198
135929,1931,125881,1748960
136467,1934,126427,1751666
136983,1938,126993,1856670
137682,1940,127582,1950153
138311,1943,128180,2017833
138898,1946,128761,2073024
139431,1951,129739,2138218
139910,1957,130381,2147098
140340,1959,130823,2147185
140799,1963,131463,2174496
141476,1965,132068,2200902
142157,1968,132699,2223657
142852,1969,133289,2249406
143596,1971,133763,2279329
144152,1973,134262,2281696
144637,1974,134861,2281696
145091,1975,135412,2302325
145692,1977,136174,2328084
146303,1979,136713,2352603
146859,1981,137224,2640454
147422,1982,138037,2877884
147874,1985,138581,2997082
148273,1988,139022,3009068
148647,1992,139733,3267838
149191,1993,140438,3477063
149731,1994,141029,3759931
150238,1996,141816,3889442
150720,1997,142385,4017253
151149,2002,142899,4053266
151506,2004,143268,4054402
151901,2006,143817,4171874
152545,2007,144379,4297256
153155,2008,144788,4417603
153789,2009,145389,4525490
154457,2012,145989,4622369
155071,2013,146340,4646023
155572,2015,146675,4646763
156167,2017,147077,4791330
156961,2018,147693,4936301
157723,2021,148024,5073327
158549,2024,148319,5193906
159342,2025,149132,5314689
160084,2026,149614,5331679
160795,2028,150044,5332325
161541,2032,150760,5408537
162753,2033,151500,5499096
164028,2034,151923,5587968
165344,2036,152498,5693661
166722,2038,153153,5840978
168046,2043,153760,5880332
169146,2044,154187,5881438
170296,2046,154752,5974038
171911,2048,155491,6081732
173511,2050,156509,6183732
