Confirmed,Death,Recovered,Full_Vac
33565215,602528,0,150046006
33577651,602904,0,150424675
33590481,603245,0,150787303
33614196,603742,0,151252034
33621499,603890,0,151615554
33625419,603964,0,152184243
33640502,604114,0,153028665
33651852,604430,0,153776118
33664970,604674,0,154199664
33679433,604979,0,154884686
33709325,605449,0,155884601
33714064,605529,0,156255896
33717761,605562,0,156982549
33723289,605608,0,157323738
33747513,605942,0,157636088
33770444,606232,0,157908171
33790505,606489,0,158287566
33838746,606993,0,158629431
33847784,607132,0,158954417
33853948,607156,0,159266536
33888961,607399,0,159499224
33915385,607784,0,159675163
33947230,608115,0,160126516
