Confirmed,Death,Recovered,Full_Vac
17397,293,14851,0
17539,293,14894,0
17666,294,14936,0
17744,298,14963,0
17884,300,15017,0
18063,300,15063,0
18236,301,15109,0
18476,302,15173,0
18667,302,15239,0
18851,302,15295,0
19000,303,15334,0
19136,305,15386,0
19334,305,15480,0
19634,306,15534,0
19905,306,15584,0
20207,306,15654,0
20517,307,15701,0
20676,308,15734,0
20849,308,15792,0
21194,309,15860,0
21645,311,15950,0
22132,314,16017,0
22648,318,16103,0
23112,321,16239,0
23510,324,16287,0
23895,326,16438,0
24652,326,16595,0
25438,327,16735,0
26410,330,16834,0
27556,331,16988,0
28495,334,17096,0
29316,339,17171,0
30147,341,17341,0
31281,349,17525,0
32671,354,17695,0
33998,359,17912,0
35523,364,18139,0
36932,368,18352,0
38100,373,18543,0
39338,380,18885,0
41058,384,19248,0
42662,391,19562,0
44539,397,19922,0
46478,406,20424,0
48083,418,20908,0
49531,426,21346,0
50547,436,21853,0
52434,448,22464,0
54440,457,23100,0
56484,463,27015,0
58474,479,33815,0
60304,487,35554,0
61416,494,36168,0
62458,505,39100,0
64506,512,40966,0
66631,520,42619,0
68585,535,44095,0
70372,550,45865,0
71734,564,47225,0
72359,578,47778,0
73067,589,50366,0
74867,604,52261,0
76596,615,54016,0
78286,625,55573,0
79963,634,57443,0
81727,646,58724,0
82481,659,59356,0
83405,666,61707,0
85109,681,63131,0
86932,692,64137,0
88554,707,65305,0
90197,723,66636,0
91585,735,67636,0
92342,745,68219,0
93410,764,70473,0
95060,768,71680,0
96709,782,73011,0
98349,794,74527,0
99836,806,75903,0
101329,819,77513,0
102040,829,78185,0
103005,842,80337,0
104905,858,81674,0
106861,877,82554,0
108814,888,86431,0
110885,899,87953,0
112717,911,89824,0
113627,916,90554,0
114728,930,92922,0
116906,953,94369,0
119158,968,95485,0
122351,982,96973,0
125012,998,98838,0
127635,1010,100115,0
129140,1025,100974,0
131317,1037,103422,0
134705,1054,105022,0
138194,1074,106529,0
142190,1089,108116,0
146351,1103,110134,0
150326,1123,112005,0
153045,1138,113225,0
156220,1155,116620,0
161025,1175,119051,0
166564,1191,121114,0
171138,1217,123964,0
176523,1235,127776,0
181863,1255,130669,0
185672,1282,132136,0
188251,1303,134671,0
192117,1334,139476,0
199138,1360,143080,0
206263,1385,146986,0
214497,1416,151728,0
222887,1446,155979,0
228769,1471,158418,0
232183,1503,164268,0
233342,1532,166490,0
238333,1567,172464,0
247411,1604,177829,0
255142,1650,183723,0
262200,1675,189411,0
264793,1712,192966,0
267730,1748,201274,0
273451,1775,208378,0
278175,1820,214961,0
282340,1846,219970,0
286095,1893,224873,0
289058,1933,230053,0
289974,1968,233910,0
291620,2014,241641,0
294789,2044,247279,0
297125,2082,253130,0
299242,2117,259060,0
300854,2148,264585,0
302354,2182,268141,0
302765,2214,270674,0
303687,2247,275693,0
305204,2278,278084,0
306397,2298,279933,0
307569,2323,283147,0
308601,2352,286346,0
309450,2378,288817,0
309696,2405,290140,0
310303,2440,292890,0
311187,2468,294212,0
312074,2496,295198,0
312797,2506,296524,0
313441,2525,297987,0
314121,2536,299067,0
314349,2561,299869,0
315007,2580,301411,0
315795,2596,302340,0
316641,2622,303086,0
317410,2639,303724,0
317980,2652,304585,0
318671,2668,305485,0
318883,2676,306180,0
319417,2683,306868,0
320136,2689,307807,0
320811,2699,308145,0
321574,2706,309259,0
322410,2718,310494,0
323171,2723,311238,0
323463,2735,311666,0
324088,2744,312647,0
324961,2751,313317,0
325790,2763,313901,0
326585,2770,314709,0
327355,2778,315469,0
328129,2784,316149,0
328551,2796,316603,0
